,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind
0,puerto escondido,37,MX,1573969544,69,69.08,15.86,-97.07,4.47
1,te anau,97,NZ,1573969544,83,44.24,-45.41,167.72,9.86
2,ekhabi,100,RU,1573969545,88,29.77,53.51,142.97,23.85
3,amapa,75,HN,1573969545,94,73.4,15.09,-87.97,2.24
4,qaanaaq,100,GL,1573969545,93,6.03,77.48,-69.36,1.57
5,geraldton,90,CA,1573969545,80,33.8,49.72,-86.95,16.11
6,leiyang,97,CN,1573969545,62,73.13,26.42,112.85,4.56
7,brae,100,GB,1573969377,93,44.6,60.4,-1.35,4.7
8,qeshm,20,IR,1573969545,38,77.0,26.96,56.27,6.93
9,castro,90,CL,1573969546,87,53.6,-42.48,-73.76,16.11
10,norman wells,90,CA,1573969546,76,-5.8,65.28,-126.83,1.9
11,rikitea,62,PF,1573969546,84,75.18,-23.12,-134.97,10.85
12,jamestown,23,AU,1573969546,13,79.3,-33.21,138.6,8.7
13,panikian,80,PH,1573969546,71,88.0,13.29,121.15,5.01
14,albany,1,US,1573969545,66,19.99,42.65,-73.75,4.7
15,pontianak,65,ID,1573969550,46,93.47,-0.02,109.34,3.31
16,arraial do cabo,20,BR,1573969550,88,69.8,-22.97,-42.02,9.17
17,bathsheba,20,BB,1573969550,88,73.4,13.22,-59.52,5.82
18,sayyan,1,YE,1573969550,54,60.84,15.17,44.32,4.18
19,avera,1,US,1573969550,81,50.0,33.19,-82.53,9.17
20,rawson,11,AR,1573969550,36,62.01,-43.3,-65.11,20.87
21,kirakira,99,SB,1573969550,80,80.71,-10.46,161.92,8.03
22,longyearbyen,75,NO,1573969551,86,30.2,78.22,15.63,3.36
23,bluff,9,AU,1573969551,13,101.21,-23.58,149.07,13.94
24,ushuaia,40,AR,1573969324,75,44.6,-54.81,-68.31,5.82
25,nampa,75,US,1573969551,74,39.0,43.57,-116.56,3.36
26,qaqortoq,100,GL,1573969551,43,35.6,60.72,-46.03,41.38
27,coihaique,100,CL,1573969551,100,35.98,-45.58,-72.07,5.86
28,kamenka,100,MD,1573969552,85,53.01,48.03,28.7,1.99
29,alta floresta,100,BR,1573969552,99,71.01,-9.87,-56.08,3.13
30,kavieng,88,PG,1573969552,74,83.53,-2.57,150.8,12.84
31,upernavik,88,GL,1573969552,58,10.63,72.79,-56.15,11.59
32,lompoc,1,US,1573969464,87,66.99,34.64,-120.46,6.8
33,port elizabeth,90,US,1573969552,75,46.0,39.31,-74.98,18.34
34,san francisco del mar,25,MX,1573969553,75,71.53,16.34,-94.51,5.99
35,nanortalik,100,GL,1573969553,83,33.84,60.14,-45.24,37.33
36,east london,40,ZA,1573969553,88,66.2,-33.02,27.91,8.05
37,cape town,75,ZA,1573969553,59,64.99,-33.93,18.42,13.87
38,vershino-shakhtaminskiy,100,RU,1573969553,78,1.27,51.3,117.89,6.58
39,oyama,20,JP,1573969553,34,69.01,36.31,139.8,3.36
40,bredasdorp,98,ZA,1573969553,67,61.0,-34.53,20.04,6.93
41,carnarvon,0,ZA,1573969554,54,64.71,-30.97,22.13,14.83
42,tignere,49,CM,1573969554,63,70.65,7.37,12.65,1.3
43,akonolinga,88,CM,1573969554,97,69.75,3.77,12.24,2.57
44,xiongzhou,90,CN,1573969554,82,70.0,32.34,118.83,4.47
45,villanueva,75,HN,1573969554,94,73.4,15.32,-87.99,2.24
46,neryungri,100,RU,1573969554,92,-11.52,56.66,124.71,7.92
47,karia,48,NG,1573969554,27,74.17,11.73,11.16,7.54
48,isla vista,1,US,1573969274,66,64.99,34.41,-119.86,4.7
49,qujing,0,CN,1573969555,60,64.47,25.49,103.8,11.68
50,souillac,90,FR,1573969555,100,37.99,45.6,-0.6,2.24
51,muros,90,ES,1573969555,100,57.0,42.77,-9.06,6.93
52,hermanus,88,ZA,1573969555,76,61.0,-34.42,19.24,10.38
53,barrow,36,AR,1573969555,54,58.37,-38.31,-60.23,10.63
54,kapaa,90,US,1573969556,100,80.6,22.08,-159.32,12.75
55,chokurdakh,95,RU,1573969556,98,-4.29,70.62,147.9,5.64
56,tuktoyaktuk,5,CA,1573969556,75,-13.0,69.44,-133.03,5.82
57,atuona,1,PF,1573969556,74,79.65,-9.8,-139.03,13.15
58,palmer,12,AU,1573969556,55,72.0,-34.85,139.16,16.11
59,montlucon,82,FR,1573969557,94,36.0,46.33,2.6,2.06
60,mataura,34,NZ,1573969557,60,57.0,-46.19,168.86,8.01
61,busselton,0,AU,1573969557,33,87.01,-33.64,115.35,16.64
62,grafton,67,AU,1573969557,57,77.0,-29.69,152.93,12.75
63,mehamn,7,NO,1573969558,91,18.52,71.03,27.85,14.85
64,bethel,90,US,1573969558,78,8.6,60.79,-161.76,16.11
65,karratha,0,AU,1573969406,56,83.91,-20.74,116.85,16.13
66,aklavik,5,CA,1573969558,75,-16.6,68.22,-135.01,4.7
67,wanaka,77,NZ,1573969558,80,40.75,-44.7,169.14,7.58
68,gaoua,34,BF,1573969558,30,77.85,10.33,-3.18,4.29
69,doha,8,QA,1573969527,48,82.4,25.29,51.53,13.87
70,hobart,84,AU,1573969541,33,59.0,-42.88,147.33,9.17
71,honiara,75,SB,1573969559,70,87.8,-9.43,159.96,3.36
72,mar del plata,7,AR,1573969559,46,55.98,-46.43,-67.52,24.32
73,itaituba,100,BR,1573969559,99,73.24,-4.26,-55.99,1.3
74,tha chang,0,TH,1573969559,38,102.0,14.76,100.39,1.61
75,mount isa,45,AU,1573969560,5,100.4,-20.73,139.49,8.05
76,tasiilaq,97,GL,1573969560,74,28.4,65.61,-37.64,20.8
77,dawson creek,1,CA,1573969560,86,39.2,55.76,-120.23,5.82
78,lebu,20,ET,1573969560,59,60.8,8.96,38.73,11.41
79,ixtapa,90,MX,1573969561,83,77.0,20.71,-105.21,6.93
80,saint-francois,63,FR,1573969561,96,32.0,46.42,3.91,1.12
81,usogorsk,90,RU,1573969561,97,18.61,63.43,48.71,5.1
82,ilhabela,0,BR,1573969561,71,70.88,-23.78,-45.36,2.93
83,nidau,100,CH,1573969561,93,37.99,47.12,7.24,5.82
