,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind
0,port hardy,90,CA,1570414241,93,50.0,50.7,-127.42,13.87
1,port hardy,90,CA,1570414241,93,50.0,50.7,-127.42,13.87
2,port hardy,90,CA,1570415455,93,50.0,50.7,-127.42,13.87
3,albany,90,US,1570415731,82,66.2,42.65,-73.75,10.29
4,benguela,100,AO,1570415963,84,71.78,-12.58,13.4,4.76
5,staunton,90,US,1570415964,100,64.99,38.15,-79.07,4.41
6,ushuaia,40,AR,1570415904,80,35.6,-54.81,-68.31,28.86
7,hilo,90,US,1570415964,54,84.2,19.71,-155.08,5.82
8,darhan,51,MN,1570415964,55,38.25,49.49,105.92,6.38
9,tuktoyaktuk,90,CA,1570415965,93,32.0,69.44,-133.03,13.87
10,carnarvon,3,ZA,1570415965,49,50.04,-30.97,22.13,15.95
11,manokwari,100,ID,1570415965,75,79.72,-0.87,134.08,5.91
12,les cayes,96,HT,1570415966,79,82.56,18.19,-73.75,10.78
13,port keats,9,AU,1570415966,56,86.86,-14.25,129.55,10.33
14,catalina,90,PE,1570415966,82,62.01,-13.57,-76.13,11.41
15,punta arenas,20,CL,1570415966,69,39.2,-53.16,-70.91,17.22
16,kapaa,90,US,1570415727,94,82.4,22.08,-159.32,13.87
17,mataura,90,NZ,1570415967,50,62.01,-46.19,168.86,8.99
18,san policarpo,94,PH,1570415967,79,83.1,12.18,125.51,7.47
19,rikitea,100,PF,1570415967,86,73.74,-23.12,-134.97,11.33
20,cape town,75,ZA,1570415967,93,59.0,-33.93,18.42,4.7
21,atuona,0,PF,1570415968,68,80.33,-9.8,-139.03,13.73
22,teknaf,95,BD,1570415968,81,78.44,20.86,92.31,0.79
23,nekrasovka,0,RU,1570415968,35,57.2,48.35,135.23,11.18
24,jamestown,100,AU,1570415968,69,57.74,-33.21,138.6,12.48
25,sitka,0,US,1570415969,72,51.01,37.17,-99.65,5.99
26,ponta do sol,95,BR,1570415969,62,71.78,-20.63,-46.0,4.88
27,chokurdakh,100,RU,1570415969,86,21.04,70.62,147.9,6.35
28,lagoa,0,PT,1570415969,68,69.01,37.14,-8.45,2.24
29,kahului,20,US,1570415969,58,84.2,20.89,-156.47,10.29
30,busselton,3,AU,1570415970,38,71.01,-33.64,115.35,8.16
31,fukue,75,JP,1570415970,64,75.99,35.03,136.69,11.41
32,tautira,40,PF,1570415970,65,82.4,-17.73,-149.15,11.41
33,pisco,90,PE,1570415970,82,62.01,-13.71,-76.2,11.41
34,port-gentil,95,GA,1570415971,85,78.04,-0.72,8.78,11.55
35,upernavik,0,GL,1570415971,76,28.42,72.79,-56.15,4.52
36,norman wells,75,CA,1570415971,64,32.0,65.28,-126.83,10.29
37,rocha,0,UY,1570415971,96,47.01,-34.48,-54.34,6.8
38,port alfred,100,ZA,1570415972,93,64.0,-33.59,26.89,3.0
39,biscarrosse,20,FR,1570415972,87,55.0,44.41,-1.18,7.02
40,tiarei,40,PF,1570415972,65,82.4,-17.53,-149.33,11.41
41,mar del plata,80,AR,1570415972,66,47.84,-46.43,-67.52,25.03
42,awjilah,0,LY,1570415972,85,63.64,29.14,21.3,6.49
43,bouloupari,0,NC,1570415973,42,84.2,-21.87,166.05,11.41
44,westport,90,US,1570415844,77,70.0,41.14,-73.36,13.87
45,erzin,75,TR,1570415973,68,69.8,36.95,36.2,9.17
46,kruisfontein,100,ZA,1570415973,84,58.01,-34.0,24.73,1.5
47,hobart,75,AU,1570415974,44,57.2,-42.88,147.33,11.41
48,ribeira grande,69,PT,1570415974,94,68.65,38.52,-28.7,22.03
49,hithadhoo,81,MV,1570415974,77,81.66,-0.6,73.08,14.03
50,farmington,1,US,1570415974,12,59.0,36.73,-108.21,8.05
51,manzanillo,40,MX,1570415975,83,82.4,19.05,-104.32,5.82
52,rockhampton,0,AU,1570415975,29,91.4,-23.38,150.51,5.82
53,berezovka,100,RU,1570415975,97,39.56,55.71,42.61,6.91
54,villamontes,83,BO,1570415975,75,58.78,-21.26,-63.47,0.87
55,faya,0,SA,1570415976,52,64.4,18.39,42.45,1.54
56,jeremie,100,HT,1570415976,78,71.83,18.65,-74.12,3.17
57,severo-kurilsk,0,RU,1570415976,81,45.91,50.68,156.12,18.95
58,la macarena,100,CO,1570415976,93,72.82,2.18,-73.79,3.34
59,sisimiut,28,GL,1570415977,86,26.08,66.94,-53.67,8.69
60,saskylakh,90,RU,1570415977,95,18.59,71.97,114.09,6.42
61,ugoofaaru,96,MV,1570415977,75,81.28,5.67,73.0,9.46
62,peniche,75,PT,1570415977,100,62.6,39.36,-9.38,1.12
63,bredasdorp,0,ZA,1570415978,87,57.0,-34.53,20.04,3.36
64,xining,56,CN,1570415754,65,46.6,36.62,101.77,6.64
65,hue,20,VN,1570415978,56,93.2,16.47,107.58,4.7
66,husavik,48,CA,1570415978,79,46.0,50.56,-96.99,3.0
67,chengde,0,CN,1570415979,33,59.77,40.97,117.93,9.73
68,alyangula,0,AU,1570415979,31,91.4,-13.85,136.42,10.29
69,bluff,0,AU,1570415979,17,94.17,-23.58,149.07,6.2
70,clyde river,40,CA,1570415979,85,21.2,70.47,-68.59,3.36
71,mansa,20,IN,1570415980,94,77.0,23.43,72.66,3.76
72,berlevag,99,NO,1570415980,80,42.46,70.86,29.09,9.67
73,katsuura,20,JP,1570415980,60,79.0,33.93,134.5,5.82
74,avarua,100,CK,1570415787,53,71.6,-21.21,-159.78,12.75
75,boddam,90,GB,1570415981,76,53.6,57.47,-1.78,24.16
76,vaini,40,IN,1570415981,94,71.6,15.34,74.49,1.48
77,dire dawa,8,ET,1570415981,66,61.52,9.59,41.86,2.13
78,taikang,97,CN,1570415981,30,59.81,46.86,124.44,13.43
79,izumo,75,JP,1570415981,64,69.8,35.37,132.75,4.7
80,touros,75,BR,1570415982,78,77.0,-5.2,-35.46,9.17
81,ponta delgada,75,PT,1570415982,94,75.0,37.73,-25.67,12.75
82,kodiak,1,US,1570415982,71,52.0,39.95,-94.76,6.93
